date,Market,Size,Value,Momentum,Quality,LowVol
2015-01-31,3.12,2.34,4.12,2.67,1.89,1.45
2015-02-28,4.23,1.89,-1.34,2.12,2.67,2.12
2015-03-31,2.45,3.67,3.12,3.89,2.34,1.89
2015-04-30,4.89,-1.23,2.12,2.89,3.12,2.34
2015-05-31,3.12,2.89,3.67,2.12,2.45,1.67
2015-06-30,3.67,2.12,-1.12,3.23,3.45,2.89
2015-07-31,2.34,3.89,2.89,2.67,2.12,1.84
2015-08-31,-5.12,2.45,-2.34,-3.89,-2.67,-1.23
2015-09-30,3.45,2.12,4.23,3.12,2.89,2.45
2015-10-31,4.12,3.12,2.34,3.67,3.23,2.67
2015-11-30,2.67,3.45,-0.89,2.12,2.12,1.89
2015-12-31,2.12,2.34,2.89,2.67,2.78,2.12
2016-01-31,-4.23,2.89,4.89,-3.12,-2.12,-0.89
2016-02-29,2.89,2.12,-2.12,2.12,2.67,2.34
2016-03-31,5.67,-1.23,3.12,4.45,3.67,2.89
2016-04-30,2.34,3.67,2.34,2.67,2.12,1.84
2016-05-31,3.67,2.89,-0.89,3.12,3.23,2.45
2016-06-30,3.12,2.34,4.12,2.45,2.12,1.67
2016-07-31,4.45,2.67,2.12,3.89,3.67,2.89
2016-08-31,2.89,4.12,-1.12,2.67,2.45,2.12
2016-09-30,2.34,2.12,3.45,3.12,2.89,2.34
2016-10-31,3.12,2.89,2.34,2.89,2.34,1.89
2016-11-30,4.89,3.67,-1.45,5.12,3.89,3.12
2016-12-31,3.45,2.12,2.89,3.12,2.67,2.34
2017-01-31,4.12,3.23,2.34,3.67,3.12,2.67
2017-02-28,2.67,2.12,-0.84,2.89,2.12,1.84
2017-03-31,2.34,3.89,3.12,2.34,2.78,2.12
2017-04-30,4.23,2.67,2.34,3.89,3.45,2.89
2017-05-31,2.89,2.34,-1.12,2.67,2.12,1.67
2017-06-30,3.45,3.67,2.89,3.12,2.89,2.45
2017-07-31,2.12,2.34,2.34,2.67,2.12,1.89
2017-08-31,3.67,3.12,-0.89,3.23,3.45,2.67
2017-09-30,2.89,2.12,3.67,2.67,2.34,2.12
2017-10-31,4.89,2.89,2.12,4.23,3.89,3.23
2017-11-30,3.45,3.67,-1.12,3.12,2.67,2.34
2017-12-31,2.34,2.12,2.78,2.89,3.12,2.56
2018-01-31,5.23,3.23,2.34,4.67,3.89,3.12
2018-02-28,-3.67,2.12,-3.12,-2.89,-2.12,-1.34
2018-03-31,2.89,3.12,3.67,3.23,2.89,2.45
2018-04-30,2.34,2.12,-1.12,2.12,2.12,1.67
2018-05-31,4.12,3.67,2.89,3.67,3.23,2.78
2018-06-30,2.67,2.12,2.34,2.67,2.12,1.89
2018-07-31,4.23,2.89,-0.89,3.89,3.67,2.89
2018-08-31,3.45,3.89,3.12,3.12,2.45,2.34
2018-09-30,2.12,2.34,2.34,2.78,2.67,2.12
2018-10-31,-6.12,2.67,-4.12,-4.89,-3.23,-1.89
2018-11-30,3.67,3.12,4.45,4.12,3.45,2.89
2018-12-31,-5.23,2.34,-2.89,-3.89,-2.56,-1.34
2019-01-31,6.45,2.89,3.67,5.34,4.23,3.45
2019-02-28,3.34,3.67,-1.12,3.12,2.67,2.23
2019-03-31,2.12,2.34,2.89,2.67,2.89,2.34
2019-04-30,4.12,3.12,2.34,3.67,3.23,2.67
2019-05-31,-3.12,2.34,3.67,-2.34,-1.67,-0.89
2019-06-30,4.89,3.89,-1.45,4.34,4.12,3.23
2019-07-31,2.89,2.12,3.12,2.89,2.45,2.12
2019-08-31,-2.34,2.67,4.12,-1.23,-0.89,-0.45
2019-09-30,3.12,2.12,2.34,3.23,2.89,2.45
2019-10-31,3.67,2.89,-1.12,3.12,2.67,2.12
2019-11-30,4.45,3.67,2.89,3.89,3.56,2.89
2019-12-31,2.89,2.12,2.34,3.12,2.45,2.12
2020-01-31,1.23,2.12,3.78,1.67,1.89,1.45
2020-02-29,-7.89,2.67,-4.89,-6.12,-3.89,-2.12
2020-03-31,-10.23,2.12,-7.45,-9.12,-5.34,-2.89
2020-04-30,9.78,-2.89,4.45,7.89,5.67,3.89
2020-05-31,4.45,2.12,2.67,3.12,3.23,2.34
2020-06-30,2.67,-2.12,-3.34,2.34,1.67,1.23
2020-07-31,4.89,2.12,-2.78,4.12,3.45,2.67
2020-08-31,6.23,2.45,-2.34,5.45,4.67,3.45
2020-09-30,-2.67,2.12,-2.12,-1.89,-1.45,-0.89
2020-10-31,-1.67,3.12,2.67,-1.12,-0.89,-0.45
2020-11-30,10.45,-4.89,-4.23,9.12,7.45,4.89
2020-12-31,3.78,2.12,2.34,3.34,2.78,2.23
2021-01-31,1.45,4.89,2.89,2.12,2.12,1.67
2021-02-28,2.89,-1.23,5.67,2.34,2.67,2.12
2021-03-31,3.34,2.12,2.89,3.12,2.67,2.34
2021-04-30,4.67,2.12,-2.34,3.89,3.56,2.78
2021-05-31,2.12,2.67,1.67,2.34,2.12,1.67
2021-06-30,2.34,-1.23,-1.67,2.67,2.12,1.89
2021-07-31,2.67,-2.12,-1.12,2.89,2.45,2.12
2021-08-31,3.12,2.12,-0.89,3.23,2.67,2.34
2021-09-30,-3.67,2.89,3.12,-2.89,-2.12,-1.23
2021-10-31,6.12,-3.34,-2.34,5.23,4.34,3.12
2021-11-30,0.67,3.67,2.12,1.23,1.45,1.12
2021-12-31,3.89,-2.12,-1.45,3.56,2.89,2.34
2022-01-31,-4.45,6.23,7.45,-3.67,-2.78,-1.56
2022-02-28,-2.34,2.67,1.67,-1.56,-1.12,-0.67
2022-03-31,3.34,-1.67,3.34,3.12,2.45,1.89
2022-04-30,-7.12,4.45,4.89,-5.67,-3.89,-2.34
2022-05-31,1.12,2.12,2.78,1.45,1.23,0.89
2022-06-30,-6.78,3.34,3.67,-5.12,-3.23,-1.89
2022-07-31,7.89,-2.89,-4.12,6.89,5.34,3.89
2022-08-31,-3.12,2.12,2.67,-2.34,-1.56,-0.89
2022-09-30,-7.89,2.89,3.89,-6.23,-4.12,-2.45
2022-10-31,6.45,-3.67,-2.89,5.89,4.56,3.23
2022-11-30,4.89,-2.34,-2.12,4.34,3.45,2.67
2022-12-31,-4.45,3.89,4.23,-3.78,-2.89,-1.67
2023-01-31,5.89,-2.67,-3.23,5.45,4.12,3.12
2023-02-28,-2.12,3.12,2.12,-1.45,-1.12,-0.67
2023-03-31,3.23,-1.56,-2.12,2.89,2.45,1.89
2023-04-30,2.34,1.45,1.78,2.12,1.67,1.34
2023-05-31,0.89,2.45,-0.56,1.12,1.12,0.78
2023-06-30,6.12,-3.12,-1.23,5.45,4.23,3.34
2023-07-31,3.12,-1.12,1.45,2.89,2.45,2.12
2023-08-31,-1.23,1.78,2.67,-0.89,-0.67,-0.34
2023-09-30,-4.12,2.45,2.56,-3.34,-2.45,-1.56
2023-10-31,-1.67,3.34,1.56,-1.23,-0.89,-0.45
2023-11-30,7.89,-3.89,-2.45,6.89,5.34,4.12
2023-12-31,4.12,-1.67,-1.12,3.67,2.78,2.34
