date,Market,Size,Value,Momentum,Quality
2015-01-31,2.34,1.89,3.45,2.12,1.67
2015-02-28,3.67,2.34,-1.23,1.89,2.34
2015-03-31,1.89,3.12,2.67,3.45,1.89
2015-04-30,4.23,-0.89,1.84,2.34,2.67
2015-05-31,2.67,2.45,3.12,1.67,1.84
2015-06-30,3.12,1.67,-0.84,2.89,3.12
2015-07-31,1.84,3.45,2.34,2.12,1.67
2015-08-31,-4.56,2.12,-1.89,-3.45,-2.34
2015-09-30,2.89,1.84,3.67,2.67,2.12
2015-10-31,3.45,2.67,1.89,3.12,2.89
2015-11-30,2.12,3.12,-0.67,1.84,1.67
2015-12-31,1.67,1.89,2.45,2.34,2.45
2016-01-31,-3.67,2.34,4.23,-2.89,-1.89
2016-02-29,2.34,1.67,-1.84,1.67,2.34
2016-03-31,4.89,-0.89,2.67,3.89,3.12
2016-04-30,1.84,3.12,1.89,2.12,1.84
2016-05-31,3.12,2.45,-0.72,2.67,2.89
2016-06-30,2.67,1.84,3.45,1.89,1.67
2016-07-31,3.89,2.12,1.67,3.45,3.23
2016-08-31,2.34,3.67,-0.89,2.12,2.12
2016-09-30,1.89,1.84,2.89,2.89,2.67
2016-10-31,2.67,2.34,1.84,2.34,1.89
2016-11-30,4.12,3.12,-1.23,4.56,3.45
2016-12-31,2.89,1.67,2.45,2.67,2.34
2017-01-31,3.45,2.89,1.89,3.12,2.89
2017-02-28,2.12,1.84,-0.67,2.34,1.67
2017-03-31,1.84,3.45,2.67,1.89,2.45
2017-04-30,3.67,2.12,1.84,3.45,3.12
2017-05-31,2.34,1.89,-0.84,2.12,1.84
2017-06-30,2.89,3.12,2.45,2.67,2.67
2017-07-31,1.67,1.84,1.89,2.34,1.89
2017-08-31,3.12,2.67,-0.72,2.89,3.23
2017-09-30,2.45,1.89,3.12,2.12,2.12
2017-10-31,4.23,2.34,1.67,3.89,3.67
2017-11-30,2.89,3.12,-0.89,2.67,2.34
2017-12-31,1.84,1.67,2.34,2.34,2.89
2018-01-31,4.67,2.89,1.89,4.12,3.45
2018-02-28,-3.12,1.84,-2.67,-2.34,-1.89
2018-03-31,2.34,2.67,3.12,2.89,2.67
2018-04-30,1.89,1.84,-0.84,1.67,1.84
2018-05-31,3.45,3.12,2.45,3.23,2.89
2018-06-30,2.12,1.67,1.89,2.12,1.67
2018-07-31,3.67,2.34,-0.72,3.45,3.34
2018-08-31,2.89,3.45,2.67,2.67,2.12
2018-09-30,1.84,1.89,1.84,2.34,2.45
2018-10-31,-5.23,2.12,-3.45,-4.12,-2.89
2018-11-30,3.12,2.67,3.89,3.67,3.23
2018-12-31,-4.56,1.84,-2.34,-3.45,-2.12
2019-01-31,5.67,2.34,3.12,4.89,3.89
2019-02-28,2.89,3.12,-0.89,2.67,2.34
2019-03-31,1.84,1.89,2.45,2.12,2.67
2019-04-30,3.45,2.67,1.84,3.23,2.89
