date,Market,Size,Value,Momentum,Quality
2020-01-31,0.32,-0.52,2.89,2.12,1.45
2020-02-29,-7.89,0.83,-4.23,-3.12,-2.34
2020-03-31,-11.23,1.92,-7.45,-13.45,-5.67
2020-04-30,11.45,-2.89,3.12,7.89,4.23
2020-05-31,4.78,-0.98,0.67,2.89,2.11
2020-06-30,2.11,-1.89,-3.23,1.67,0.89
2020-07-31,5.23,-0.76,-2.67,4.12,2.34
2020-08-31,6.45,-0.23,-2.34,4.89,3.12
2020-09-30,-2.89,1.12,-2.01,-1.89,-1.23
2020-10-31,-1.98,2.67,1.12,-1.12,-0.67
2020-11-30,11.23,-5.45,-4.12,8.67,5.89
2020-12-31,4.12,-1.34,1.01,3.12,2.45
2021-01-31,0.45,4.89,1.67,1.12,0.89
2021-02-28,2.67,-1.23,5.89,0.78,1.23
2021-03-31,3.23,-0.89,1.45,2.34,1.56
2021-04-30,4.67,-0.12,-2.12,3.45,2.11
2021-05-31,0.89,1.98,0.56,1.23,0.67
2021-06-30,2.11,-1.34,-1.67,1.56,0.98
2021-07-31,2.23,-2.34,-0.56,2.11,1.12
2021-08-31,2.89,0.45,-1.12,2.56,1.45
2021-09-30,-3.89,2.23,2.34,-3.12,-1.89
2021-10-31,6.23,-3.45,-2.23,5.12,3.45
2021-11-30,-0.34,3.45,1.12,0.23,0.56
2021-12-31,3.98,-2.56,-1.98,2.89,1.78
2022-01-31,-4.56,6.45,7.89,-4.12,-2.89
2022-02-28,-2.34,2.23,0.78,-1.67,-1.12
2022-03-31,3.45,-1.89,2.45,2.12,1.34
2022-04-30,-7.89,4.23,4.89,-6.23,-3.45
2022-05-31,0.23,1.34,2.01,0.78,0.45
2022-06-30,-7.45,3.12,2.67,-5.12,-2.98
2022-07-31,8.45,-2.98,-4.12,7.23,4.56
2022-08-31,-3.45,1.56,1.78,-2.12,-1.45
2022-09-30,-8.23,2.56,3.12,-6.45,-3.89
2022-10-31,7.23,-4.12,-2.89,5.89,3.67
2022-11-30,5.12,-2.12,-1.67,3.89,2.34
2022-12-31,-5.23,3.78,3.34,-4.12,-2.56
2023-01-31,6.01,-2.56,-3.12,5.23,3.12
2023-02-28,-2.12,2.78,1.12,-1.45,-0.89
2023-03-31,3.34,-1.56,-2.12,2.67,1.56
2023-04-30,1.45,0.78,1.01,1.01,0.67
2023-05-31,-0.12,2.12,-0.67,-0.34,-0.23
2023-06-30,6.23,-3.12,-1.12,5.34,3.23
2023-07-31,3.12,-0.78,0.45,2.56,1.45
2023-08-31,-1.45,1.12,2.12,-1.12,-0.78
2023-09-30,-4.34,2.34,1.67,-3.56,-2.12
2023-10-31,-1.89,3.12,0.56,-1.45,-0.89
2023-11-30,8.23,-4.12,-2.56,7.12,4.34
2023-12-31,4.23,-1.67,-0.45,3.12,1.89
