DATE,MKT,SMB,HML,UMD
2020-01-31,0.45,-0.62,3.21,2.34
2020-02-29,-8.12,0.89,-5.12,-3.45
2020-03-31,-12.45,2.12,-8.67,-14.23
2020-04-30,12.34,-3.11,3.67,8.45
2020-05-31,5.12,-1.23,0.78,3.12
2020-06-30,2.45,-2.34,-3.89,1.89
2020-07-31,5.67,-0.98,-3.12,4.45
2020-08-31,6.89,-0.34,-3.01,5.12
2020-09-30,-3.12,1.45,-2.45,-2.11
2020-10-31,-2.34,3.12,1.45,-1.34
2020-11-30,12.45,-6.34,-4.78,9.23
2020-12-31,4.89,-1.67,1.34,3.45
2021-01-31,0.23,5.34,2.01,1.34
2021-02-28,3.12,-1.56,6.23,1.01
2021-03-31,3.89,-1.12,1.89,2.67
2021-04-30,5.45,-0.34,-2.67,3.89
2021-05-31,0.98,2.45,0.78,1.45
2021-06-30,2.67,-1.67,-2.01,1.78
2021-07-31,2.78,-2.89,-0.78,2.34
2021-08-31,3.45,0.67,-1.45,2.98
2021-09-30,-4.23,2.67,2.78,-3.45
2021-10-31,6.78,-3.89,-2.56,5.45
2021-11-30,-0.45,4.12,1.45,0.34
2021-12-31,4.34,-2.78,-2.12,3.12
2022-01-31,-5.01,6.89,8.23,-4.45
2022-02-28,-2.67,2.56,1.01,-1.89
2022-03-31,3.78,-2.12,2.89,2.34
2022-04-30,-8.45,4.56,5.34,-6.78
2022-05-31,0.34,1.56,2.34,0.89
2022-06-30,-7.89,3.45,3.12,-5.45
2022-07-31,8.98,-3.23,-4.45,7.67
2022-08-31,-3.78,1.89,2.12,-2.34
2022-09-30,-8.67,2.89,3.45,-6.89
2022-10-31,7.67,-4.45,-3.12,6.23
2022-11-30,5.45,-2.34,-1.89,4.12
2022-12-31,-5.56,4.12,3.67,-4.45
2023-01-31,6.34,-2.78,-3.45,5.56
2023-02-28,-2.34,3.01,1.34,-1.67
2023-03-31,3.56,-1.78,-2.34,2.89
2023-04-30,1.67,0.98,1.23,1.12
2023-05-31,-0.23,2.34,-0.78,-0.45
2023-06-30,6.56,-3.34,-1.34,5.67
2023-07-31,3.34,-0.89,0.56,2.78
2023-08-31,-1.56,1.34,2.34,-1.23
2023-09-30,-4.56,2.56,1.89,-3.78
2023-10-31,-2.01,3.34,0.67,-1.56
2023-11-30,8.67,-4.34,-2.78,7.45
2023-12-31,4.45,-1.78,-0.56,3.34
