Date,Mom
202001,2.45
202002,-3.67
202003,-15.23
202004,8.92
202005,3.14
202006,1.87
202007,4.56
202008,5.23
202009,-2.11
202010,-1.34
202011,9.87
202012,3.45
202101,1.23
202102,0.89
202103,2.67
202104,3.89
202105,1.45
202106,1.78
202107,2.34
202108,2.89
202109,-3.45
202110,5.67
202111,0.23
202112,3.12
202201,-4.56
202202,-1.89
202203,2.34
202204,-6.78
202205,0.89
202206,-5.67
202207,7.89
202208,-2.34
202209,-7.12
202210,6.45
202211,4.23
202212,-4.56
202301,5.67
202302,-1.89
202303,2.89
202304,1.12
202305,-0.45
202306,5.67
202307,2.78
202308,-1.23
202309,-3.89
202310,-1.67
202311,7.89
202312,3.45
