Date,Mom
201001,5.23
201002,-2.84
201003,3.67
201004,4.89
201005,2.45
201006,-1.34
201007,3.78
201008,2.12
201009,4.56
201010,-0.89
201011,3.45
201012,2.67
201101,1.89
201102,2.34
201103,3.12
201104,1.67
201105,2.89
201106,-1.23
201107,3.45
201108,-2.67
201109,4.89
201110,3.12
201111,1.84
201112,2.45
201201,3.67
201202,2.12
201203,1.89
201204,-1.45
201205,3.23
201206,2.67
201207,1.84
201208,2.34
201209,3.12
201210,1.67
201211,2.89
201212,1.45
201301,3.23
201302,2.67
201303,1.89
201304,3.45
201305,2.12
201306,1.84
201307,3.67
201308,2.34
201309,1.67
201310,3.12
201311,2.89
201312,2.45
201401,3.67
201402,2.34
201403,1.89
201404,3.23
201405,2.67
201406,1.84
201407,3.45
201408,2.12
201409,1.67
201410,3.89
201411,2.34
201412,1.89
201501,3.45
201502,2.67
201503,1.84
201504,3.12
201505,2.34
201506,1.67
201507,3.23
201508,-2.89
201509,2.45
201510,4.12
201511,1.89
201512,2.67
201601,3.34
201602,2.12
201603,3.78
201604,1.89
201605,2.45
201606,1.67
201607,3.23
201608,2.34
201609,1.84
201610,3.12
201611,4.56
201612,2.67
201701,3.45
201702,2.34
201703,1.89
201704,3.67
201705,2.12
201706,1.84
201707,3.23
201708,2.45
201709,1.67
201710,3.34
201711,4.12
201712,2.89
201801,4.23
201802,-2.67
201803,2.89
201804,1.84
201805,3.45
201806,2.12
201807,3.67
201808,2.34
201809,1.89
201810,-4.56
201811,3.23
201812,-2.89
201901,4.67
201902,2.34
201903,1.89
201904,3.45
201905,-2.12
201906,3.78
201907,2.34
201908,-1.89
201909,2.67
201910,1.84
201911,3.45
201912,2.89
202001,2.45
202002,-3.67
202003,-15.23
202004,8.92
202005,3.14
202006,1.87
202007,4.56
202008,5.23
202009,-2.11
202010,-1.34
202011,9.87
202012,3.45
202101,1.23
202102,0.89
202103,2.67
202104,3.89
202105,1.45
202106,1.78
202107,2.34
202108,2.89
202109,-3.45
202110,5.67
202111,0.23
202112,3.12
202201,-4.56
202202,-1.89
202203,2.34
202204,-6.78
202205,0.89
202206,-5.67
202207,7.89
202208,-2.34
202209,-7.12
202210,6.45
202211,4.23
202212,-4.56
202301,5.67
202302,-1.89
202303,2.89
202304,1.12
202305,-0.45
202306,5.67
202307,2.78
202308,-1.23
202309,-3.89
202310,-1.67
202311,7.89
202312,3.45
