Date,Mkt-RF,SMB,HML,RF
202001,0.28,-0.45,3.09,0.13
202002,-8.56,0.71,-4.91,0.11
202003,-13.31,1.79,-8.24,0.08
202004,13.06,-3.22,3.41,0.01
202005,5.31,-1.13,0.46,0.01
202006,2.29,-2.12,-3.76,0.01
202007,5.89,-0.87,-3.04,0.01
202008,7.19,-0.18,-2.87,0.01
202009,-3.34,1.29,-2.38,0.01
202010,-2.38,2.94,1.31,0.01
202011,12.78,-6.11,-4.57,0.01
202012,4.68,-1.54,1.24,0.01
202101,0.02,5.65,1.89,0.00
202102,2.99,-1.49,6.63,0.00
202103,3.66,-1.01,1.74,0.00
202104,5.24,-0.19,-2.45,0.00
202105,0.70,2.29,0.62,0.00
202106,2.48,-1.52,-1.84,0.00
202107,2.52,-2.76,-0.64,0.00
202108,3.26,0.54,-1.28,0.00
202109,-4.42,2.54,2.64,0.00
202110,7.01,-3.98,-2.48,0.00
202111,-0.51,3.98,1.27,0.00
202112,4.48,-2.89,-2.22,0.00
202201,-5.17,7.26,8.47,0.00
202202,-2.77,2.57,0.89,0.00
202203,3.89,-2.08,2.74,0.00
202204,-8.72,4.72,5.24,0.00
202205,0.18,1.46,2.29,0.00
202206,-8.25,3.54,2.98,0.00
202207,9.34,-3.28,-4.51,0.00
202208,-3.89,1.82,2.01,0.00
202209,-9.21,2.89,3.45,0.00
202210,8.10,-4.67,-3.21,0.00
202211,5.73,-2.41,-1.89,0.00
202212,-5.76,4.23,3.67,0.00
202301,6.73,-2.89,-3.45,0.00
202302,-2.44,3.12,1.23,0.00
202303,3.67,-1.78,-2.34,0.00
202304,1.56,0.89,1.12,0.00
202305,-0.23,2.34,-0.78,0.00
202306,6.89,-3.45,-1.23,0.00
202307,3.45,-0.89,0.56,0.00
202308,-1.67,1.23,2.34,0.00
202309,-4.89,2.67,1.89,0.00
202310,-2.12,3.45,0.67,0.00
202311,9.13,-4.56,-2.89,0.00
202312,4.67,-1.89,-0.45,0.00
