Date,Mkt-RF,SMB,HML,RF
201001,3.85,4.26,2.93,0.00
201002,-2.64,0.74,-3.09,0.01
201003,6.23,-2.15,0.86,0.01
201004,1.84,5.78,1.98,0.01
201005,8.09,0.51,-3.72,0.01
201006,5.54,2.44,-4.18,0.01
201007,7.17,0.82,-1.84,0.01
201008,4.61,3.54,1.87,0.01
201009,8.97,-3.27,2.68,0.01
201010,3.84,4.12,-0.86,0.01
201011,0.39,4.89,1.93,0.01
201012,6.75,-1.29,3.28,0.01
201101,2.26,1.89,3.56,0.01
201102,3.58,0.89,-1.72,0.01
201103,0.28,3.72,1.43,0.01
201104,3.00,1.48,-0.89,0.01
201105,1.48,2.09,1.26,0.00
201106,1.68,0.41,-2.13,0.00
201107,2.31,2.89,0.97,0.00
201108,5.23,1.84,-1.45,0.00
201109,7.41,3.12,2.89,0.00
201110,11.18,-3.72,4.67,0.00
201111,0.16,3.89,0.87,0.00
201112,1.02,2.34,-1.29,0.00
201201,4.76,3.12,2.84,0.00
201202,4.45,1.89,-0.93,0.00
201203,3.37,2.41,1.67,0.00
201204,0.59,4.23,-2.18,0.00
201205,5.83,0.92,-3.29,0.00
201206,4.14,2.87,-1.84,0.00
201207,1.48,3.56,0.72,0.00
201208,2.47,1.93,-0.89,0.01
201209,2.70,0.84,1.45,0.01
201210,1.75,3.29,-0.92,0.01
201211,0.89,2.67,1.83,0.01
201212,1.12,1.45,0.67,0.01
201301,5.26,2.89,-1.43,0.01
201302,1.38,1.67,0.84,0.01
201303,3.88,2.34,-0.72,0.01
201304,2.04,3.12,1.29,0.01
201305,2.49,1.84,-0.56,0.00
201306,1.35,2.67,0.93,0.00
201307,5.32,1.23,-1.28,0.00
201308,2.91,2.89,0.67,0.00
201309,3.30,1.56,-0.84,0.00
201310,4.71,2.34,1.45,0.00
201311,3.16,1.89,-0.73,0.00
201312,2.74,2.67,0.89,0.00
201401,3.72,2.12,-1.34,0.00
201402,4.61,1.84,0.72,0.00
201403,0.88,3.45,1.89,0.00
201404,0.76,2.89,-0.84,0.00
201405,2.44,1.67,0.93,0.00
